Date,Open,High,Low,Close,Adj Close,Volume
2014-10-02,25.100000,25.180000,24.760000,25.129999,12.253835,33800
2014-10-03,25.120001,25.120001,25.070000,25.070000,12.224580,25900
2014-10-06,25.120001,28.040001,24.820000,24.920000,12.151436,22600
2014-10-07,25.090000,25.090000,24.653999,24.653999,12.021729,38400
2014-10-08,24.690001,24.690001,24.049999,24.549999,11.971017,59500
2014-10-09,24.490000,24.490000,23.590000,23.790001,11.600426,61200
2014-10-10,23.790001,23.790001,22.959999,23.309999,11.366369,25700
2014-10-13,23.500000,23.500000,22.150000,22.150000,10.800732,9900
2014-10-14,22.250000,22.315001,21.389999,21.750000,10.605687,9800
2014-10-15,21.940001,22.850000,21.940001,22.740000,11.088427,3200
2014-10-16,22.719999,24.040001,22.570000,23.790001,11.600426,13800
2014-10-17,24.000000,24.170000,23.308001,23.990000,11.697951,21500
2014-10-20,24.000000,24.230000,23.690001,23.972000,11.689172,5500
2014-10-21,24.450001,24.570000,24.128000,24.379999,11.888123,16000
2014-10-22,24.770000,24.770000,24.120001,24.120001,11.761341,37700
2014-10-23,24.554001,25.299999,24.150000,24.299999,11.849112,38600
2014-10-24,24.190001,24.469999,24.190001,24.389999,11.892999,10800
2014-10-27,24.670000,24.670000,24.129999,24.530001,11.961267,14200
2014-10-28,24.400000,24.461000,24.280001,24.379999,11.888123,7100
2014-10-29,24.490000,24.490000,24.290001,24.290001,11.844236,1900
2014-10-30,24.490000,24.490000,24.250000,24.250000,11.824732,2100
2014-10-31,24.330000,24.330000,24.059999,24.219999,11.810102,7900
2014-11-03,24.499001,24.500000,24.209999,24.389999,11.892999,1500
2014-11-04,23.870001,23.870001,23.629999,23.830000,11.619933,9000
2014-11-05,23.674000,24.080000,23.674000,24.020000,11.712580,4900
2014-11-06,24.000000,24.059999,23.906000,24.059999,11.732085,2600
2014-11-07,24.400000,27.770000,24.080000,24.340000,11.868615,19800
2014-11-10,24.459999,24.520000,24.110001,24.280001,11.839364,35200
2014-11-11,24.260000,24.783001,24.209999,24.209999,11.805227,6000
2014-11-12,24.250000,24.315001,24.239000,24.281000,11.839849,2600
2014-11-13,24.670000,24.670000,24.139999,24.155001,11.778407,8000
2014-11-14,24.339001,24.450001,24.299999,24.410000,11.902749,2700
2014-11-17,24.400000,24.670000,24.400000,24.670000,12.029530,5300
2014-11-18,24.639999,24.790001,24.639999,24.780001,12.083167,4600
2014-11-19,24.980000,24.980000,24.790001,24.850000,12.117302,6800
2014-11-20,24.809999,25.070000,24.809999,25.030001,12.205073,5400
2014-11-21,25.549999,25.549999,25.000000,25.030001,12.205073,13500
2014-11-24,24.819000,24.820000,24.805000,24.805000,12.095362,600
2014-11-25,24.959999,24.959999,24.900000,24.900000,12.141683,2300
2014-11-26,24.910000,25.049999,24.910000,25.049999,12.214826,1800
2014-11-28,24.360001,24.360001,24.110001,24.160000,11.780846,3200
2014-12-01,24.299999,24.299999,22.641001,22.820000,11.127439,15400
2014-12-02,23.000000,23.830000,23.000000,23.572001,11.494126,2200
2014-12-03,23.940001,24.049999,23.940001,24.040001,11.722333,2200
2014-12-04,24.110001,24.219999,24.070000,24.080000,11.741838,8800
2014-12-05,24.070000,24.070000,23.780001,23.780001,11.595552,6400
2014-12-08,23.750000,23.750000,22.299999,22.309999,10.878753,6600
2014-12-09,22.000000,22.570000,21.980000,22.570000,11.005533,2600
2014-12-10,21.459999,21.600000,21.299999,21.299999,10.386257,11800
2014-12-11,21.389999,22.120001,21.350000,21.350000,10.410639,4500
2014-12-12,21.260000,21.260000,20.740000,21.219999,10.347249,3500
2014-12-15,20.459999,21.320000,20.309999,20.549999,10.020545,6600
2014-12-16,19.790001,21.270000,19.680000,20.889999,10.186335,6200
2014-12-17,21.330000,22.080000,21.330000,22.080000,10.766600,2500
2014-12-18,22.750000,22.790001,21.999001,22.250000,10.849493,2900
2014-12-19,22.250000,22.350000,22.240000,22.350000,10.898255,3100
2014-12-22,22.000999,22.420000,22.000999,22.420000,10.932390,1200
2014-12-23,22.570000,22.709999,22.570000,22.709999,11.073801,1400
2014-12-24,22.790001,22.940001,22.790001,22.920000,11.176202,2000
2014-12-26,22.850000,22.850000,22.760000,22.760000,11.098180,1200
2014-12-29,22.830999,23.098000,22.830999,23.040001,11.234715,2900
2014-12-30,23.000000,23.230000,23.000000,23.180000,11.302980,2400
2014-12-31,23.000000,23.239000,22.950001,22.950001,11.190826,1700
2015-01-02,23.261000,23.480000,23.261000,23.448999,11.434151,2200
2015-01-05,22.840000,22.969999,22.159000,22.159000,10.805124,7500
2015-01-06,21.670000,21.670000,20.639999,21.049999,10.501308,5700
2015-01-07,21.389999,21.389999,20.660999,20.816000,10.384572,8300
2015-01-08,21.350000,21.350000,21.100000,21.100000,10.526249,1500
2015-01-09,21.590000,21.590000,20.910000,21.153999,10.553188,4500
2015-01-12,21.100000,22.100000,19.950001,19.950001,9.952546,10100
2015-01-13,20.188999,20.188999,19.639999,19.639999,9.797895,3800
2015-01-14,19.240000,19.760000,18.990000,19.760000,9.857759,17200
2015-01-15,20.040001,20.290001,20.010000,20.049999,10.002434,5400
2015-01-16,20.049999,20.789000,20.049999,20.789000,10.371101,6400
2015-01-20,20.790001,21.100000,20.790001,21.040001,10.496323,1400
2015-01-21,21.610001,21.690001,21.610001,21.688999,10.820086,3600
2015-01-22,21.809999,22.000000,21.549999,21.620001,10.785666,5600
2015-01-23,22.000000,22.010000,21.809999,21.809999,10.880451,3200
2015-01-26,21.990000,21.990000,21.910000,21.910000,10.930340,1100
2015-01-27,21.940001,21.940001,21.830000,21.830000,10.890428,2700
2015-01-28,21.600000,21.600000,21.450001,21.450001,10.700860,700
2015-01-29,21.000000,21.010000,20.959999,20.959999,10.456409,1200
2015-01-30,21.100000,21.100000,21.020000,21.020000,10.486339,1300
2015-02-02,21.570000,21.700001,21.420000,21.600000,10.775689,4000
2015-02-03,22.010000,22.219000,21.889999,22.049999,11.000181,9700
2015-02-04,22.049999,22.049999,21.750000,22.000000,10.975239,1400
2015-02-05,22.200001,22.370001,22.100000,22.330000,11.139868,3100
2015-02-06,22.209999,22.209999,22.080000,22.180000,11.065037,4400
2015-02-09,22.059000,22.059999,21.740000,21.740000,10.845530,3700
2015-02-10,21.610001,21.770000,21.610001,21.770000,10.860498,2400
2015-02-11,21.500000,21.500000,21.500000,21.500000,10.725800,300
2015-02-12,21.809999,21.860001,21.690001,21.860001,10.905396,2600
2015-02-13,22.299999,22.320000,22.150000,22.200001,11.075011,8100
2015-02-17,22.120001,22.420000,22.080000,22.370001,11.159824,10100
2015-02-18,22.200001,22.230000,22.120001,22.139999,11.045081,1600
2015-02-19,21.712000,22.190001,21.712000,22.190001,11.070025,1700
2015-02-20,22.260000,22.500000,22.260000,22.500000,11.224676,3100
2015-02-23,22.280001,22.309999,22.190001,22.299999,11.124902,5100
2015-02-24,22.180000,22.360001,22.180000,22.309999,11.129889,7500
2015-02-25,22.639999,22.760000,22.639999,22.709999,11.329439,1700
2015-02-26,22.100000,22.170000,22.059999,22.059999,11.005172,1800
2015-02-27,22.309000,22.385000,22.250000,22.385000,11.167308,3700
2015-03-02,22.600000,22.600000,22.049999,22.049999,11.000181,2300
2015-03-03,22.150000,22.250000,22.150000,22.209999,11.080002,600
2015-03-04,22.559999,22.559999,21.900000,22.040001,10.995194,4800
2015-03-05,22.349001,22.349001,22.250000,22.250000,11.099956,1000
2015-03-06,22.219999,22.219999,21.629999,21.850000,10.900409,3800
2015-03-09,22.264000,22.264000,21.389999,21.389999,10.670924,6200
2015-03-10,20.719999,21.309999,20.719999,21.309999,10.631016,4100
2015-03-11,21.250000,21.250000,20.870001,20.870001,10.411510,1900
2015-03-12,20.870001,20.870001,20.650000,20.650000,10.301757,2100
2015-03-13,20.500000,20.500000,20.299999,20.299999,10.127151,8900
2015-03-16,20.299999,20.459999,20.299999,20.459999,10.206972,700
2015-03-17,20.489000,20.705999,20.489000,20.705999,10.329694,600
2015-03-18,20.600000,21.219999,20.520000,21.150000,10.551194,5000
2015-03-19,21.030001,21.030001,20.770000,20.830000,10.391555,4200
2015-03-20,21.100000,21.100000,21.000000,21.000000,10.476363,4100
2015-03-23,21.150000,21.530001,21.139999,21.530001,10.740767,1900
2015-03-24,21.549999,21.549999,21.129999,21.150000,10.551194,17400
2015-03-25,21.309999,21.389999,21.219999,21.219999,10.586117,2500
2015-03-26,21.350000,21.360001,21.299999,21.299999,10.626026,2100
2015-03-27,21.250000,21.480000,21.160000,21.190001,10.571151,4300
2015-03-30,21.451000,21.590000,21.451000,21.540001,10.745758,2400
2015-03-31,21.500000,21.709999,21.500000,21.510000,10.730792,17200
2015-04-01,21.770000,21.770000,21.400000,21.400000,10.675913,5200
2015-04-02,21.940001,21.940001,21.423000,21.450001,10.700860,6600
2015-04-06,21.450001,21.719999,21.450001,21.629999,10.790656,13800
2015-04-07,21.400000,21.400000,21.209999,21.219999,10.839180,4000
2015-04-08,21.250000,21.250000,21.150000,21.219999,10.839180,2500
2015-04-09,21.299999,21.370001,21.180000,21.370001,10.915801,3600
2015-04-10,21.350000,21.410000,21.350000,21.410000,10.936234,2200
2015-04-13,21.520000,21.530001,21.400000,21.400000,10.931128,2200
2015-04-14,21.450001,21.799999,21.450001,21.740000,11.104796,5900
2015-04-15,21.660000,22.129999,21.660000,22.076000,11.276426,8400
2015-04-16,22.309999,22.309999,21.870001,22.072001,11.274384,9500
