Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,39.810001,39.810001,39.810001,39.810001,39.253384,100
2015-08-20,38.639999,38.720001,37.750000,37.750000,37.222183,1600
2015-08-21,36.990002,37.099998,35.230000,35.671001,35.172256,600
2015-08-24,35.671001,35.671001,35.671001,35.671001,35.172256,0
2015-08-25,33.150002,33.150002,33.150002,33.150002,32.686501,700
2015-08-26,28.990000,28.990000,27.969999,27.969999,27.578926,600
2015-08-27,31.139999,33.520000,31.100000,33.520000,33.051327,10500
2015-08-28,31.730000,33.000000,31.730000,33.000000,32.538597,800
2015-08-31,31.709999,32.520000,31.709999,32.520000,32.065308,900
2015-09-01,null,null,null,null,null,null
2015-09-02,null,null,null,null,null,null
2015-09-03,null,null,null,null,null,null
2015-09-04,31.629999,33.869999,30.927000,31.070000,30.635584,4200
2015-09-08,30.330000,32.119999,30.330000,32.119999,31.670900,800
2015-09-09,35.000000,35.000000,32.610001,32.610001,32.154049,2200
2015-09-10,null,null,null,null,null,null
2015-09-11,null,null,null,null,null,null
2015-09-14,null,null,null,null,null,null
2015-09-15,33.330002,34.000000,33.020000,33.689999,33.218948,4700
2015-09-16,null,null,null,null,null,null
2015-09-17,33.889999,36.250000,33.889999,34.549999,34.066925,13700
2015-09-18,34.660000,34.660000,32.619999,32.619999,32.163910,1000
2015-09-21,null,null,null,null,null,null
2015-09-22,31.469999,31.469999,29.049999,29.500000,29.087534,1600
2015-09-23,30.139999,30.139999,30.100000,30.100000,29.679146,600
2015-09-24,28.500000,29.040001,27.790001,29.040001,28.633966,1300
2015-09-25,31.110001,31.110001,31.110001,31.110001,30.675024,200
2015-09-28,28.480000,28.480000,28.000000,28.000000,27.608507,600
2015-09-29,25.150000,25.974001,24.900000,25.040001,24.689894,3400
2015-09-30,25.850000,25.860001,24.611000,24.980000,24.630733,2600
2015-10-01,null,null,null,null,null,null
2015-10-02,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-09,null,null,null,null,null,null
2015-10-12,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,null,null,null,null,null,null
2015-10-19,null,null,null,null,null,null
2015-10-20,null,null,null,null,null,null
2015-10-21,null,null,null,null,null,null
2015-10-22,null,null,null,null,null,null
2015-10-23,null,null,null,null,null,null
2015-10-26,31.450001,31.450001,30.000000,30.420000,29.994673,3500
2015-10-27,29.459999,29.459999,28.450001,28.450001,28.052217,600
2015-10-28,29.806999,29.806999,29.806999,29.806999,29.390242,200
2015-10-29,28.770000,28.770000,28.090000,28.090000,27.697248,400
2015-10-30,29.100000,29.100000,29.100000,29.100000,28.693127,200
2015-11-02,30.063000,30.063000,29.590000,29.820999,29.404045,300
2015-11-03,30.160000,30.490000,30.160000,30.490000,30.063692,600
2015-11-04,30.000000,30.290001,29.700001,29.700001,29.284740,900
2015-11-05,29.700001,29.700001,29.700001,29.700001,29.284740,0
2015-11-06,29.700001,29.700001,29.700001,29.700001,29.284740,0
2015-11-09,27.700001,27.700001,27.250000,27.250000,26.868994,800
2015-11-10,27.250000,27.250000,27.250000,27.250000,26.868994,0
2015-11-11,27.250000,27.250000,27.250000,27.250000,26.868994,0
2015-11-12,29.070000,29.070000,29.070000,29.070000,28.663548,400
2015-11-13,28.350000,28.350000,28.350000,28.350000,27.953615,500
2015-11-16,28.350000,28.350000,28.350000,28.350000,27.953615,0
2015-11-17,30.250000,30.250000,29.420000,29.420000,29.008654,400
2015-11-18,29.420000,29.420000,29.420000,29.420000,29.008654,0
2015-11-19,31.540001,31.540001,31.389999,31.389999,30.951107,400
2015-11-20,31.389999,31.389999,31.389999,31.389999,30.951107,0
2015-11-23,31.389999,31.389999,31.389999,31.389999,30.951107,0
2015-11-24,31.389999,31.389999,31.389999,31.389999,30.951107,0
2015-11-25,31.389999,31.389999,31.389999,31.389999,30.951107,0
2015-11-27,34.270000,34.500000,34.270000,34.270000,33.790844,500
2015-11-30,33.990002,33.990002,33.647999,33.647999,33.177536,600
2015-12-01,33.647999,33.647999,33.647999,33.647999,33.177536,0
2015-12-02,33.647999,33.647999,33.647999,33.647999,33.177536,0
2015-12-03,32.298000,32.298000,31.159000,31.173000,30.737144,1200
2015-12-04,32.320000,32.528000,32.320000,32.528000,32.073196,300
2015-12-07,32.528000,32.528000,32.528000,32.528000,32.073196,0
2015-12-08,32.528000,32.528000,32.528000,32.528000,32.073196,0
2015-12-09,28.870001,28.870001,28.870001,28.870001,28.466343,200
2015-12-10,28.870001,28.870001,28.870001,28.870001,28.466343,0
2015-12-11,28.870001,28.870001,28.870001,28.870001,28.466343,400
2015-12-14,27.620001,27.620001,27.600000,27.600000,27.214100,2000
2015-12-15,27.600000,27.600000,27.600000,27.600000,27.214100,0
2015-12-16,29.299999,30.000000,29.299999,30.000000,29.580544,400
2015-12-17,30.000000,30.000000,30.000000,30.000000,29.580544,0
2015-12-18,26.542000,26.645000,26.542000,26.645000,26.272453,300
2015-12-21,26.645000,26.645000,26.645000,26.645000,26.272453,0
