Puts,Root,Strike,Last,Net,Bid,Size,Ask,Size,Vol,Open Int
12/21/18,GASL,1,,,,0,0.55,166,0,0
12/21/18,GASL,2,,,,0,0.55,173,0,0
12/21/18,GASL,3,,,,0,0.55,198,0,0
12/21/18,GASL,4,,,,0,0.55,198,0,0
12/21/18,GASL,5,,,,0,0.75,241,0,0
12/21/18,GASL,6,,,0.05,36,0.15,18,0,0
12/21/18,GASL,7,,,0.15,32,0.25,25,0,0
12/21/18,GASL,8,,,0.35,50,0.45,21,0,0
12/21/18,GASL,9,,,0.65,34,0.8,62,0,0
1/18/19,GASL,2,,,,0,4.9,40,0,0
1/18/19,GASL,3,,,,0,4.9,41,0,0
1/18/19,GASL,4,,,,0,4.9,53,0,0
1/18/19,GASL,5,,,,0,4.9,74,0,0
1/18/19,GASL,6,,,,0,4.9,108,0,0
1/18/19,GASL,7,0.3,,,0,4.9,97,0,3
1/18/19,GASL,8,,,,0,4.9,102,0,0
1/18/19,GASL,9,1.08,,1,21,1.2,33,1,0
2/15/19,GASL,2,,,,0,0.55,105,0,0
2/15/19,GASL,3,,,,0,0.75,104,0,0
2/15/19,GASL,4,,,,0,0.75,151,0,0
2/15/19,GASL,5,,,0.15,21,0.35,22,0,0
2/15/19,GASL,6,,,0.3,22,0.45,22,0,0
2/15/19,GASL,7,,,0.55,22,0.7,20,0,0
2/15/19,GASL,8,1,,0.9,21,1.05,30,0,10
2/15/19,GASL,9,1.4,,1.3,21,1.4,2,0,10
3/15/19,GASL,3,,,,0,4.9,62,0,0
3/15/19,GASL,4,,,,0,4.9,80,0,0
3/15/19,GASL,5,,,,0,4.9,81,0,0
3/15/19,GASL,6,,,,0,4.9,83,0,0
3/15/19,GASL,7,,,,0,4.9,79,0,0
3/15/19,GASL,8,2.35,,,0,4.9,191,0,6
3/15/19,GASL,9,,,0.1,119,4.9,76,0,0
12/7/18,OIH,5,,,,0,0.25,84,0,0
12/7/18,OIH,10,,,,0,0.03,61,0,0
12/7/18,OIH,13.5,,,,0,0.03,61,0,0
12/7/18,OIH,14.5,,,,0,0.03,47,0,0
12/7/18,OIH,15,,,,0,0.03,117,0,0
12/7/18,OIH,15.5,,,,0,0.03,26,0,0
12/7/18,OIH,16,0.05,,0.02,87,0.05,21,0,1
12/7/18,OIH,16.5,0.08,0.04,0.07,22,0.08,21,100,132
12/7/18,OIH,17,0.15,0.07,0.14,74,0.16,87,8,31
12/7/18,OIH,17.5,0.29,0.14,0.27,89,0.29,32,493,248
12/7/18,OIH,18,0.5,0.21,0.46,73,0.48,11,586,105
12/14/18,OIH,5,,,,0,0.02,102,0,0
12/14/18,OIH,10,,,,0,0.02,62,0,0
12/14/18,OIH,13.5,,,,0,0.03,604,0,0
12/14/18,OIH,14,0.01,,,0,0.03,99,0,1
12/14/18,OIH,14.5,0.01,,,0,0.03,31,0,1
12/14/18,OIH,15,,,,0,0.04,21,0,0
12/14/18,OIH,15.5,0.03,,0.03,962,0.06,61,0,5
12/14/18,OIH,16,,,0.07,23,0.1,454,0,0
