Date,Open,High,Low,Close,Adj Close,Volume
2013-11-26,7.875000,7.945000,7.863333,7.931667,7.600133,46800
2013-11-27,7.951667,8.011666,7.788333,7.996666,7.662417,126000
2013-11-29,8.018333,8.018333,8.000000,8.000000,7.665610,4200
2013-12-02,7.898334,8.010000,7.898334,7.985000,7.651238,15000
2013-12-03,8.028334,8.028334,7.948333,7.983333,7.649641,7200
2013-12-04,7.981667,8.028334,7.923333,7.945000,7.612909,30000
2013-12-05,8.026667,8.093333,8.013333,8.083333,7.745461,25800
2013-12-06,8.166667,8.345000,8.166667,8.291667,7.945087,75000
2013-12-09,8.385000,8.405000,8.341666,8.371667,8.021741,23400
2013-12-10,8.125000,8.470000,8.125000,8.341666,7.992995,28800
2013-12-11,8.250000,8.250000,8.131667,8.133333,7.793371,6600
2013-12-12,8.158334,8.196667,7.981667,7.993333,7.659222,28800
2013-12-13,8.041667,8.041667,7.936666,7.945000,7.612909,10800
2013-12-16,8.041667,8.238334,8.041667,8.191667,7.849267,44400
2013-12-17,8.203333,8.386666,8.203333,8.328333,7.980222,51600
2013-12-18,8.315000,8.476666,8.183333,8.468333,8.114369,19800
2013-12-19,8.346666,8.403334,8.346666,8.388333,8.037710,15600
2013-12-20,8.551666,8.565000,8.500000,8.500000,8.144712,5400
2013-12-23,8.580000,8.670000,8.580000,8.640000,8.278862,44400
2013-12-24,8.356667,8.723333,8.166667,8.658334,8.309729,41400
2013-12-26,8.758333,8.766666,8.708333,8.755000,8.402503,39600
2013-12-27,8.741667,8.750000,8.705000,8.706667,8.356115,13800
2013-12-30,8.756667,8.838333,8.756667,8.838333,8.482480,24600
2013-12-31,8.850000,8.943334,8.850000,8.890000,8.532067,11400
2014-01-02,8.698334,8.718333,8.640000,8.703333,8.352916,33000
2014-01-03,8.750000,8.780000,8.626667,8.725000,8.373713,15000
2014-01-06,8.791667,8.791667,8.575000,8.575000,8.229750,24600
2014-01-07,8.748333,8.763333,8.736667,8.736667,8.384904,16200
2014-01-08,8.913333,8.930000,8.853333,8.930000,8.570457,36600
2014-01-09,8.966666,8.966666,8.741667,8.785000,8.431293,15000
2014-01-10,8.888333,8.895000,8.835000,8.895000,8.536868,18000
2014-01-13,8.830000,8.866667,8.661667,8.676666,8.327321,15600
2014-01-14,9.080000,9.205000,9.080000,9.200000,8.829587,24000
2014-01-15,9.333333,9.376667,9.295000,9.295000,8.920760,46800
2014-01-16,9.295000,9.295000,9.200000,9.205000,8.834385,20400
2014-01-17,9.003333,9.115000,8.950000,9.026667,8.663233,58200
2014-01-21,9.001667,9.038333,8.976666,8.985000,8.623241,16800
2014-01-22,9.025000,9.150000,9.025000,9.128333,8.760804,16800
2014-01-23,9.041667,9.041667,8.871667,8.966666,8.605646,43800
2014-01-24,8.716666,8.823334,8.528334,8.576667,8.231349,102000
2014-01-27,8.666667,8.666667,8.380000,8.480000,8.138576,131400
2014-01-28,8.500000,8.536667,8.500000,8.508333,8.165768,10200
2014-01-29,8.458333,8.625000,8.458333,8.466666,8.125777,15600
2014-01-30,8.558333,8.698334,8.535000,8.681666,8.332123,12600
2014-01-31,8.396667,8.575000,8.351666,8.525000,8.181763,12000
2014-02-03,8.410000,8.511666,8.090000,8.101666,7.775474,66000
2014-02-04,8.046667,8.188334,8.046667,8.143333,7.815462,13200
2014-02-05,8.050000,8.225000,7.991667,8.175000,7.845852,21000
2014-02-06,8.241667,8.386666,8.241667,8.365000,8.028204,8400
