Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,11.795000,11.935000,11.635000,11.800000,6.111586,14000
2016-05-04,11.485000,11.650000,11.400000,11.495000,5.953617,5200
2016-05-05,11.900000,11.916000,11.625000,11.645000,6.031307,6800
2016-05-06,11.745000,12.340000,11.690000,12.330000,6.386090,20400
2016-05-09,12.450000,12.700000,12.415000,12.630000,6.541469,14400
2016-05-10,13.000000,13.270000,12.965000,13.270000,6.872945,21200
2016-05-11,13.160000,13.160000,12.665000,12.665000,6.559597,27800
2016-05-12,12.905000,13.030000,12.425000,13.030000,6.748641,12400
2016-05-13,12.853000,12.950000,12.250000,12.375000,6.409397,14400
2016-05-16,12.645000,13.155000,12.585000,13.115000,6.792665,49000
2016-05-17,12.740000,12.840000,12.300000,12.355000,6.399037,186400
2016-05-18,12.470000,12.895000,12.210000,12.423500,6.434516,39600
2016-05-19,12.230000,12.420000,11.840000,12.420000,6.432703,19200
2016-05-20,12.515000,12.750000,12.515000,12.725000,6.590672,10400
2016-05-23,12.995000,13.000000,12.990000,13.000000,6.733104,9800
2016-05-24,13.240000,13.635000,13.240000,13.635000,7.061989,10400
2016-05-25,13.990000,14.092000,13.875000,13.995000,7.248445,5200
2016-05-26,14.300000,14.300000,14.300000,14.300000,7.406414,600
2016-05-27,14.440000,14.670000,14.305000,14.670000,7.598048,11600
2016-05-31,14.765000,14.765000,14.235000,14.650000,7.587689,4400
2016-06-01,14.430000,14.880000,14.255000,14.870000,7.701634,6000
2016-06-02,15.280000,15.280000,14.475000,15.250000,7.898448,4800
2016-06-03,15.075000,15.075000,15.075000,15.075000,7.807810,600
2016-06-06,15.365000,15.570000,15.286000,15.495000,8.025341,31000
2016-06-07,15.715000,15.775000,15.715000,15.775000,8.170362,12200
2016-06-08,15.255000,15.280000,15.195000,15.280000,7.913986,15600
2016-06-09,14.721500,14.721500,14.715000,14.720000,7.623945,9200
2016-06-10,14.185000,14.185000,13.080000,13.180500,6.826590,40000
2016-06-13,12.125000,12.795000,11.025000,11.025000,5.710189,72400
2016-06-14,11.000000,11.175000,10.715000,11.165000,5.782700,114000
2016-06-15,11.375000,11.660000,11.285000,11.285000,5.844851,42000
2016-06-16,11.260000,11.705000,10.325000,11.705000,6.062383,87400
2016-06-17,11.650000,11.705000,11.415000,11.510000,5.961386,100600
2016-06-20,12.280000,12.790000,12.280000,12.390000,6.417166,58600
